cluster,variable,est,value,type,group
Total,bmi,mean,34.453950187666145,Continuous,NA
Total,bmi,sd,6.529149401619285,Continuous,NA
Total,bmi,median,33.7837,Continuous,NA
Total,bmi,q25,32,Continuous,NA
Total,bmi,q75,38,Continuous,NA
Total,bmi,min,16.192858663,Continuous,NA
Total,bmi,max,89.012019185,Continuous,NA
Total,bmi,freq,641,Continuous,NA
Total,bmi,missing,0,Continuous,NA
Total,hba1c,mean,6.554539781591264,Continuous,NA
Total,hba1c,sd,1.5897439304587948,Continuous,NA
Total,hba1c,median,6.1,Continuous,NA
Total,hba1c,q25,5.6,Continuous,NA
Total,hba1c,q75,7,Continuous,NA
Total,hba1c,min,4.3,Continuous,NA
Total,hba1c,max,15,Continuous,NA
Total,hba1c,freq,641,Continuous,NA
Total,hba1c,missing,0,Continuous,NA
Total,cpeptidef,mean,3.7594383775351012,Continuous,NA
Total,cpeptidef,sd,1.849248025303086,Continuous,NA
Total,cpeptidef,median,3.5,Continuous,NA
Total,cpeptidef,q25,2.54,Continuous,NA
Total,cpeptidef,q75,4.778,Continuous,NA
Total,cpeptidef,min,0.05,Continuous,NA
Total,cpeptidef,max,11.4,Continuous,NA
Total,cpeptidef,freq,641,Continuous,NA
Total,cpeptidef,missing,0,Continuous,NA
Total,sbp,mean,114.18855954244961,Continuous,NA
Total,sbp,sd,11.567626978465876,Continuous,NA
Total,sbp,median,113.5,Continuous,NA
Total,sbp,q25,106.5,Continuous,NA
Total,sbp,q75,121.33333333,Continuous,NA
Total,sbp,min,84.666666667,Continuous,NA
Total,sbp,max,156.5,Continuous,NA
Total,sbp,freq,641,Continuous,NA
Total,sbp,missing,0,Continuous,NA
Total,dbp,mean,68.7917316692624,Continuous,NA
Total,dbp,sd,9.713622804368132,Continuous,NA
Total,dbp,median,68.5,Continuous,NA
Total,dbp,q25,62,Continuous,NA
Total,dbp,q75,74.666666667,Continuous,NA
Total,dbp,min,42,Continuous,NA
Total,dbp,max,107.33333333,Continuous,NA
Total,dbp,freq,641,Continuous,NA
Total,dbp,missing,0,Continuous,NA
Total,ldlc,mean,90.72823712948518,Continuous,NA
Total,ldlc,sd,27.938885841129775,Continuous,NA
Total,ldlc,median,88,Continuous,NA
Total,ldlc,q25,71,Continuous,NA
Total,ldlc,q75,108,Continuous,NA
Total,ldlc,min,23,Continuous,NA
Total,ldlc,max,231,Continuous,NA
Total,ldlc,freq,641,Continuous,NA
Total,ldlc,missing,0,Continuous,NA
Total,hdlc,mean,39.22121684867395,Continuous,NA
Total,hdlc,sd,9.160147331891867,Continuous,NA
Total,hdlc,median,38,Continuous,NA
Total,hdlc,q25,33,Continuous,NA
Total,hdlc,q75,45,Continuous,NA
Total,hdlc,min,13,Continuous,NA
Total,hdlc,max,75,Continuous,NA
Total,hdlc,freq,641,Continuous,NA
Total,hdlc,missing,0,Continuous,NA
Total,totalc,mean,154.8394863563403,Continuous,NA
Total,totalc,sd,36.12331391353615,Continuous,NA
Total,totalc,median,151,Continuous,NA
Total,totalc,q25,130,Continuous,NA
Total,totalc,q75,175,Continuous,NA
